complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole because description contains 'pothole'.,
PM-202402,Pothole,Urgent,Classified as Pothole because description contains 'pothole'.,
PM-202406,Flooding,Standard,Classified as Flooding because description contains 'flood'.,
PM-202408,Flooding,Standard,Classified as Flooding because description contains 'flood'.,NEEDS_REVIEW
PM-202410,Streetlight,Standard,Classified as Streetlight because description contains 'streetlight'.,
PM-202411,Streetlight,Urgent,Classified as Streetlight because description contains 'streetlight'.,
PM-202413,Waste,Standard,Classified as Waste because description contains 'garbage'.,
PM-202418,Noise,Low,Classified as Noise because description contains 'music'.,
PM-202419,Road Damage,Standard,Classified as Road Damage because description contains 'crack'.,
PM-202420,Road Damage,Urgent,Classified as Road Damage because description contains 'manhole'.,
PM-202427,Flooding,Standard,Classified as Flooding because description contains 'flood'.,
PM-202428,Waste,Standard,Classified as Waste because description contains 'dead animal'.,
PM-202430,Heritage Damage,Standard,Classified as Heritage Damage because description contains 'heritage'.,
PM-202433,Waste,Standard,Classified as Waste because description contains 'waste'.,
PM-202446,Road Damage,Urgent,Classified as Road Damage because description contains 'footpath'.,
